Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1759244106,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1759244107,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1759244108,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1759244109,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1759244110,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1759244111,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1759244112,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1759244113,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1759244114,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1759244115,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1759244116,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1759244117,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1759244118,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1759244119,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1759244120,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1759244122,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1759244123,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1759244124,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1759244125,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1759244126,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1759244127,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1759244128,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1759244129,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1759244130,30,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1759244131,40,,Aggregated,0.000000,0.000000,180,490,560,570,610,630,630,640,640,640,640,94,0,170.0,318.27538844677196,134.06277499962016,640.936771998895,384.52127659574467
1759244132,50,,Aggregated,0.000000,0.000000,180,490,560,570,610,630,630,640,640,640,640,94,0,170.0,318.27538844677196,134.06277499962016,640.936771998895,384.52127659574467
1759244133,60,,Aggregated,0.000000,0.000000,180,490,560,570,610,630,630,640,640,640,640,94,0,170.0,318.27538844677196,134.06277499962016,640.936771998895,384.52127659574467
1759244134,70,,Aggregated,24.750000,0.000000,220,450,560,560,580,630,800,1100,1500,1500,1500,224,0,210.0,334.69025246872826,134.06277499962016,1456.1762419998558,829.5089285714286
1759244135,80,,Aggregated,24.750000,0.000000,220,450,560,560,580,630,800,1100,1500,1500,1500,224,0,210.0,334.69025246872826,134.06277499962016,1456.1762419998558,829.5089285714286
1759244136,90,,Aggregated,24.750000,0.000000,220,450,560,560,580,630,800,1100,1500,1500,1500,224,0,210.0,334.69025246872826,134.06277499962016,1456.1762419998558,829.5089285714286
1759244137,100,,Aggregated,32.714286,0.000000,240,360,550,560,590,670,720,1100,1500,1500,1500,393,0,240.0,330.6471875317959,131.9778889992449,1456.1762419998558,1124.2086513994911
1759244138,100,,Aggregated,32.714286,0.000000,240,360,550,560,590,670,720,1100,1500,1500,1500,393,0,240.0,330.6471875317959,131.9778889992449,1456.1762419998558,1124.2086513994911
1759244139,100,,Aggregated,32.714286,0.000000,240,360,550,560,590,670,720,1100,1500,1500,1500,393,0,240.0,330.6471875317959,131.9778889992449,1456.1762419998558,1124.2086513994911
1759244140,100,,Aggregated,40.400000,0.000000,190,300,460,550,580,630,690,730,1500,1500,1500,553,0,190.0,297.80284236890355,131.9778889992449,1456.1762419998558,1270.8408679927668
1759244141,100,,Aggregated,40.400000,0.000000,190,300,460,550,580,630,690,730,1500,1500,1500,553,0,190.0,297.80284236890355,131.9778889992449,1456.1762419998558,1270.8408679927668
1759244142,100,,Aggregated,40.400000,0.000000,190,300,460,550,580,630,690,730,1500,1500,1500,553,0,190.0,297.80284236890355,131.9778889992449,1456.1762419998558,1270.8408679927668
1759244143,100,,Aggregated,48.700000,0.000000,170,270,380,470,570,610,680,720,1500,1500,1500,692,0,170.0,278.85176852167444,131.29593799931172,1456.1762419998558,1484.8020231213873
1759244144,100,,Aggregated,48.700000,0.000000,170,270,380,470,570,610,680,720,1500,1500,1500,692,0,170.0,278.85176852167444,131.29593799931172,1456.1762419998558,1484.8020231213873
1759244145,100,,Aggregated,48.700000,0.000000,170,270,380,470,570,610,680,720,1500,1500,1500,692,0,170.0,278.85176852167444,131.29593799931172,1456.1762419998558,1484.8020231213873
1759244146,100,,Aggregated,51.500000,0.000000,170,240,350,450,560,590,680,710,1500,1500,1500,830,0,170.0,266.9865120783174,131.29593799931172,1456.1762419998558,1585.557831325301
1759244147,100,,Aggregated,51.500000,0.000000,170,240,350,450,560,590,680,710,1500,1500,1500,830,0,170.0,266.9865120783174,131.29593799931172,1456.1762419998558,1585.557831325301
1759244148,100,,Aggregated,51.500000,0.000000,170,240,350,450,560,590,680,710,1500,1500,1500,830,0,170.0,266.9865120783174,131.29593799931172,1456.1762419998558,1585.557831325301
1759244149,100,,Aggregated,49.300000,0.000000,160,210,310,430,560,590,670,700,1500,1500,1500,955,0,160.0,258.11030660523824,131.29593799931172,1456.1762419998558,1792.0303664921466
1759244150,100,,Aggregated,49.300000,0.000000,160,210,310,430,560,590,670,700,1500,1500,1500,955,0,160.0,258.11030660523824,131.29593799931172,1456.1762419998558,1792.0303664921466
1759244151,100,,Aggregated,49.300000,0.000000,160,210,310,430,560,590,670,700,1500,1500,1500,955,0,160.0,258.11030660523824,131.29593799931172,1456.1762419998558,1792.0303664921466
1759244152,100,,Aggregated,44.600000,0.000000,160,220,310,430,560,600,720,800,1400,1500,1500,1088,0,160.0,262.28428557259986,131.29593799931172,1456.1762419998558,1822.0762867647059
1759244153,100,,Aggregated,44.600000,0.000000,160,220,310,430,560,600,720,800,1400,1500,1500,1088,0,160.0,262.28428557259986,131.29593799931172,1456.1762419998558,1822.0762867647059
1759244154,100,,Aggregated,44.600000,0.000000,160,220,310,430,560,600,720,800,1400,1500,1500,1088,0,160.0,262.28428557259986,131.29593799931172,1456.1762419998558,1822.0762867647059
1759244155,100,,Aggregated,44.300000,0.000000,160,200,290,420,550,590,700,760,1400,1500,1500,1230,0,160.0,253.61766367966888,131.29593799931172,1456.1762419998558,1889.5162601626016
1759244156,100,,Aggregated,44.300000,0.000000,160,200,290,420,550,590,700,760,1400,1500,1500,1230,0,160.0,253.61766367966888,131.29593799931172,1456.1762419998558,1889.5162601626016
1759244157,100,,Aggregated,44.300000,0.000000,160,200,290,420,550,590,700,760,1400,1500,1500,1230,0,160.0,253.61766367966888,131.29593799931172,1456.1762419998558,1889.5162601626016
1759244158,100,,Aggregated,45.100000,0.000000,160,190,290,400,540,580,690,760,1400,1500,1500,1365,0,160.0,248.3132559963421,131.29593799931172,1456.1762419998558,1941.1831501831502
1759244159,100,,Aggregated,45.100000,0.000000,160,190,290,400,540,580,690,760,1400,1500,1500,1365,0,160.0,248.3132559963421,131.29593799931172,1456.1762419998558,1941.1831501831502
1759244160,100,,Aggregated,45.100000,0.000000,160,190,290,400,540,580,690,760,1400,1500,1500,1365,0,160.0,248.3132559963421,131.29593799931172,1456.1762419998558,1941.1831501831502
1759244161,100,,Aggregated,45.200000,0.000000,160,180,280,360,510,580,680,750,1400,1500,1500,1514,0,160.0,243.89985348547393,131.29593799931172,1456.1762419998558,1965.6023778071335
1759244162,100,,Aggregated,45.200000,0.000000,160,180,280,360,510,580,680,750,1400,1500,1500,1514,0,160.0,243.89985348547393,131.29593799931172,1456.1762419998558,1965.6023778071335
1759244163,100,,Aggregated,45.200000,0.000000,160,180,280,360,510,580,680,750,1400,1500,1500,1514,0,160.0,243.89985348547393,131.29593799931172,1456.1762419998558,1965.6023778071335
1759244164,100,,Aggregated,46.300000,0.000000,160,180,280,360,480,570,680,750,1400,1500,1500,1639,0,160.0,242.4790499816975,131.29593799931172,1456.1762419998558,2022.8133007931665
1759244165,100,,Aggregated,46.300000,0.000000,160,180,280,360,480,570,680,750,1400,1500,1500,1639,0,160.0,242.4790499816975,131.29593799931172,1456.1762419998558,2022.8133007931665
1759244166,100,,Aggregated,46.300000,0.000000,160,180,280,360,480,570,680,750,1400,1500,1500,1639,0,160.0,242.4790499816975,131.29593799931172,1456.1762419998558,2022.8133007931665
1759244167,100,,Aggregated,46.200000,0.000000,160,180,280,340,470,570,670,740,1400,1500,1500,1781,0,160.0,238.56994010162643,131.29593799931172,1456.1762419998558,2049.4519932622125
1759244168,100,,Aggregated,46.200000,0.000000,160,180,280,340,470,570,670,740,1400,1500,1500,1781,0,160.0,238.56994010162643,131.29593799931172,1456.1762419998558,2049.4519932622125
1759244169,100,,Aggregated,46.200000,0.000000,160,180,280,340,470,570,670,740,1400,1500,1500,1781,0,160.0,238.56994010162643,131.29593799931172,1456.1762419998558,2049.4519932622125
1759244170,100,,Aggregated,45.300000,0.000000,160,180,270,320,460,570,660,740,1400,1500,1500,1915,0,160.0,236.6018428229701,131.14591199882852,1456.1762419998558,2057.5185378590077
1759244171,100,,Aggregated,45.300000,0.000000,160,180,270,320,460,570,660,740,1400,1500,1500,1915,0,160.0,236.6018428229701,131.14591199882852,1456.1762419998558,2057.5185378590077
1759244172,100,,Aggregated,45.300000,0.000000,160,180,270,320,460,570,660,740,1400,1500,1500,1915,0,160.0,236.6018428229701,131.14591199882852,1456.1762419998558,2057.5185378590077
